Joshua Project People Group Data

PeopleID3,ROG3,ROL3,ROL4,Language,LanguageDialect,LanguageRank,Speakers
10350,AA,pap,0,Papiamentu,Papiamentu,P,86001
11659,AA,nld,0,Dutch,Dutch,P,4357
12035,AA,hat,0,"Haitian Creole","Haitian Creole",P,1150
12051,AA,cmn,0,"Chinese, Mandarin","Chinese, Mandarin",P,865
12316,AA,jam,0,"Jamaican English Creole","Jamaican English Creole",P,587
15175,AA,tgl,0,Tagalog,Tagalog,P,862
15741,AA,eng,0,English,English,P,560
19007,AA,xxx,0,"Language Unknown","Language unknown",P,
19209,AA,spa,0,Spanish,Spanish,P,11858
10348,AC,aig,0,"Leeward Caribbean English Creole","Leeward Caribbean English Creole",S,
10348,AC,eng,0,English,English,P,
11140,AC,eng,0,English,English,P,3177
13862,AC,aig,0,"Leeward Caribbean English Creole","Leeward Caribbean English Creole",P,2663
15741,AC,eng,0,English,English,P,10410
10294,AE,amh,0,Amharic,Amharic,P,11222
10376,AE,afb,0,"Arabic, Gulf","Arabic, Gulf",P,
10378,AE,acx,0,"Arabic, Omani","Arabic, Omani",P,354623
10790,AE,ben,7966,Bengali,"Bengali: Siripuria",P,89041
11359,AE,rhg,0,Rohingya,Rohingya,P,59233
11722,AE,arz,0,"Arabic, Egyptian","Arabic, Egyptian",P,1180650
12046,AE,afb,0,"Arabic, Gulf","Arabic, Gulf",P,225080
12076,AE,haz,0,Hazaragi,Hazaragi,P,117050
12247,AE,acm,0,"Arabic, Mesopotamian","Arabic, Mesopotamian",P,59233
12368,AE,apc,0,"Arabic, Levantine","Arabic, Levantine",P,30324
12795,AE,kor,0,Korean,Korean,P,9835
13017,AE,apc,0,"Arabic, Levantine","Arabic, Levantine",P,31985
13169,AE,ayl,0,"Arabic, Libyan","Arabic, Libyan",P,53254
13317,AE,npi,0,Nepali,Nepali,P,116094
13437,AE,zlm,0,Malay,Malay,P,34644
13819,AE,ary,0,"Arabic, Moroccan","Arabic, Moroccan",P,9182
14192,AE,snd,0,Sindhi,Sindhi,P,111200
14196,AE,sin,0,Sinhala,Sinhala,P,132624
14256,AE,pbu,0,"Pashto, Northern","Pashto, Northern",P,461925
14276,AE,apc,0,"Arabic, Levantine","Arabic, Levantine",P,118464
14327,AE,pbt,0,"Pashto, Southern","Pashto, Southern",P,170585
14371,AE,pes,0,"Persian, Iranian","Persian, Iranian",P,369294
14483,AE,pan,0,"Punjabi, Eastern","Punjabi, Eastern",P,218319
14784,AE,acw,0,"Arabic, Hijazi","Arabic, Hijazi",P,450954
14908,AE,ssh,0,"Arabic, Shihhi","Arabic, Shihhi",P,23157
14971,AE,sqt,0,Soqotri,Soqotri,P,18318
14983,AE,som,0,Somali,Somali,P,48518
15034,AE,bcc,0,"Balochi, Southern","Balochi, Southern",P,461925
15104,AE,apd,0,"Arabic, Sudanese","Arabic, Sudanese",P,86608
15145,AE,swh,0,Swahili,Swahili,P,6278
15152,AE,apc,0,"Arabic, Levantine","Arabic, Levantine",P,57454
15175,AE,tgl,0,Tagalog,Tagalog,P,
15198,AE,acq,3364,"Arabic, Ta'izzi-Adeni","Arabic, Ta'izzi-Adeni: Ta'izzi",P,66593
15324,AE,tel,0,Telugu,Telugu,P,494789
15481,AE,tir,0,Tigrigna,Tigrigna,P,19383
15641,AE,aeb,0,"Arabic, Tunisian","Arabic, Tunisian",P,6121
15727,AE,urd,0,Urdu,Urdu,P,243824
17433,AE,mal,0,Malayalam,Malayalam,P,
18211,AE,tam,0,Tamil,Tamil,P,408073
18274,AE,tur,0,Turkish,Turkish,P,11902
19007,AE,xxx,0,"Language Unknown","Language unknown",P,10202
19206,AE,cmn,0,"Chinese, Mandarin","Chinese, Mandarin",P,38233
19211,AE,hin,0,Hindi,Hindi,P,
19211,AE,urd,0,Urdu,Urdu,S,
19314,AE,prs,0,Dari,Dari,P,8161
10453,AF,ask,0,Ashkun,Ashkun,P,55386
10528,AF,azj,0,"Azerbaijani, North","Azerbaijani, North",P,14702
10703,AF,bsh,3341,Kateviri,"Kateviri: Kiti",P,166981
10959,AF,brh,0,Brahui,Brahui,P,373055
11510,AF,prs,0,Dari,Dari,P,18647
11835,AF,gwt,0,Gawar-Bati,Gawar-Bati,P,44836
11936,AF,nli,0,Grangali,Grangali,P,12308
12076,AF,haz,0,Hazaragi,Hazaragi,P,3872235
12482,AF,xvi,11490,Komviri,"Komviri: Shekhani",P,30771
12526,AF,kaa,11588,Karakalpak,"Karakalpak: Southwest Karakalpak",P,3738
12741,AF,gwc,11381,Gawri,"Gawri: Ushu",P,2232
13431,AF,prs,0,Dari,Dari,P,3738
13878,AF,mnj,14417,Munji,"Munji: Southern Munji",P,8044
13996,AF,aee,0,"Pashai, Northeast","Pashai, Northeast",P,
13996,AF,psi,15537,"Pashai, Southeast","Pashai, Southeast: Southeast",S,
14042,AF,glh,3338,"Pashai, Northwest","Pashai, Northwest: Wadahu",P,71252
14192,AF,snd,16748,Sindhi,"Sindhi: Visholi",P,27977
14255,AF,phv,0,Pahlavani,Pahlavani,S,
14255,AF,prs,0,Dari,Dari,P,
14256,AF,pbu,0,"Pashto, Northern","Pashto, Northern",P,4714057
14311,AF,prc,0,Parachi,Parachi,P,
14322,AF,gbz,0,"Dari, Zoroastrian","Dari, Zoroastrian",S,
14322,AF,prs,0,Dari,Dari,P,
14324,AF,paq,0,Parya,Parya,P,408
14327,AF,pbt,0,"Pashto, Southern","Pashto, Southern",P,9083058
14371,AF,pes,0,"Persian, Iranian","Persian, Iranian",P,766672
14372,AF,prs,0,Dari,Dari,P,12753814
14461,AF,prn,0,Prasuni,Prasuni,P,11176
14483,AF,pan,15478,"Punjabi, Eastern","Punjabi, Eastern: Powadhi",P,6901
14498,AF,azj,0,"Azerbaijani, North","Azerbaijani, North",S,
14498,AF,prs,0,Dari,Dari,P,
14727,AF,sgy,0,Sanglechi,Sanglechi,P,3209
14782,AF,sdg,0,Savi,Savi,P,5596
14921,AF,sgh,0,Shughni,Shughni,P,52406
14924,AF,sts,0,Shumashti,Shumashti,P,1039
15025,AF,psi,0,"Pashai, Southeast","Pashai, Southeast",P,183463
15072,AF,psh,0,"Pashai, Southwest","Pashai, Southwest",P,101757
15202,AF,abh,0,"Arabic, Tajiki","Arabic, Tajiki",P,
15202,AF,prs,0,Dari,Dari,S,
15202,AF,tgk,0,Tajik,Tajik,S,
15253,AF,prs,0,Dari,Dari,P,18647
15356,AF,bgn,7624,"Balochi, Western","Balochi, Western: Rakhshani",P,408526
15382,AF,pnb,0,"Punjabi, Western","Punjabi, Western",P,42905
15418,AF,pbu,0,"Pashto, Northern","Pashto, Northern",P,3991
15500,AF,pbt,0,"Pashto, Southern","Pashto, Southern",P,
15500,AF,tra,0,Tirahi,Tirahi,S,
15575,AF,trm,0,Tregami,Tregami,P,4890
15654,AF,tuk,0,Turkmen,Turkmen,P,1226648
15735,AF,oru,0,Ormuri,Ormuri,S,
15735,AF,pbt,0,"Pashto, Southern","Pashto, Southern",P,
15756,AF,uzs,0,"Uzbek, Southern","Uzbek, Southern",P,3840171
15822,AF,wbk,0,Waigali,Waigali,P,36143
15866,AF,prs,0,Dari,Dari,P,9329
16585,AF,urd,0,Urdu,Urdu,P,3537
17549,AF,gju,10404,Gujari,"Gujari: Western Gujari",P,21016
18125,AF,pan,0,"Punjabi, Eastern","Punjabi, Eastern",P,3167
18274,AF,tur,0,Turkish,Turkish,P,12399
18369,AF,mvy,0,"Kohistani, Indus","Kohistani, Indus",P,54097
18693,AF,wbl,0,Wakhi,Wakhi,P,23748
19007,AF,afg,0,"Afghan Sign Language","Afghan Sign Language",P,195213
19409,AF,azb,3389,"Azerbaijani, South","Azerbaijani, South: Afshari",P,
19409,AF,prs,0,Dari,Dari,S,
19423,AF,urd,0,Urdu,Urdu,P,7457
19437,AF,khw,0,Khowar,Khowar,P,11622
20542,AF,isk,0,Ishkashimi,Ishkashimi,P,3643
21454,AF,aiq,0,Aimaq,Aimaq,P,1845395
22356,AF,pbt,15548,"Pashto, Southern","Pashto, Southern: Southeastern Pashto",P,4279013
10375,AG,apc,0,"Arabic, Levantine","Arabic, Levantine",P,45800
10379,AG,arq,0,"Arabic, Algerian","Arabic, Algerian",P,34856752
10774,AG,kcy,0,Korandje,Korandje,P,4004
11199,AG,tzm,0,"Tamazight, Central Atlas","Tamazight, Central Atlas",P,90296
11234,AG,fra,0,French,French,P,14777
11321,AG,cnu,0,Chenoua,Chenoua,P,112094
11633,AG,arq,0,"Arabic, Algerian","Arabic, Algerian",P,89685
11722,AG,arz,0,"Arabic, Egyptian","Arabic, Egyptian",P,19537
12070,AG,hau,0,Hausa,Hausa,P,
12178,AG,dsq,0,Tadaksahak,Tadaksahak,P,4064
12217,AG,tzm,0,"Tamazight, Central Atlas","Tamazight, Central Atlas",P,1803134
12247,AG,acm,0,"Arabic, Mesopotamian","Arabic, Mesopotamian",P,5098
12399,AG,kab,0,Kabyle,Kabyle,P,6812927
12944,AG,aao,0,"Arabic, Algerian Saharan","Arabic, Algerian Saharan",P,21530
13669,AG,tzm,0,"Tamazight, Central Atlas","Tamazight, Central Atlas",P,90035
13819,AG,ary,0,"Arabic, Moroccan","Arabic, Moroccan",P,197752
13842,AG,mzb,0,Tumzabt,Tumzabt,P,205365
13922,AG,arq,0,"Arabic, Algerian","Arabic, Algerian",P,42067
14570,AG,arq,0,"Arabic, Algerian","Arabic, Algerian",P,4969
14584,AG,arq,0,"Arabic, Algerian","Arabic, Algerian",P,90181
14639,AG,mey,0,Hassaniyya,Hassaniyya,P,
14639,AG,spa,0,Spanish,Spanish,S,
14899,AG,shy,0,Tachawit,Tachawit,P,2520079
14911,AG,shi,0,Tachelhit,Tachelhit,P,7100
14938,AG,aao,0,"Arabic, Algerian Saharan","Arabic, Algerian Saharan",P,21530
14983,AG,som,0,Somali,Somali,P,11995
15095,AG,arq,0,"Arabic, Algerian","Arabic, Algerian",P,142721
15199,AG,mey,0,Hassaniyya,Hassaniyya,P,53822
15226,AG,aao,0,"Arabic, Algerian Saharan","Arabic, Algerian Saharan",P,80734
15473,AG,arq,0,"Arabic, Algerian","Arabic, Algerian",S,
15473,AG,tia,0,"Tamazight, Tidikelt","Tamazight, Tidikelt",P,
15572,AG,arq,0,"Arabic, Algerian","Arabic, Algerian",P,8894
15608,AG,thv,0,"Tamahaq, Tahaggart","Tamahaq, Tahaggart",P,78201
15609,AG,grr,0,Taznatit,Taznatit,P,12986
16103,AG,aao,0,"Arabic, Algerian Saharan","Arabic, Algerian Saharan",P,21530
18364,AG,oua,0,Tagargrent,Tagargrent,P,24601
19007,AG,asp,0,"Algerian Sign Language","Algerian Sign Language",P,243000
19206,AG,cmn,0,"Chinese, Mandarin","Chinese, Mandarin",P,39291
22643,AG,tjo,0,"Tamazight, Temacine","Tamazight, Temacine",P,9117
22677,AG,arq,0,"Arabic, Algerian","Arabic, Algerian",P,92000
10528,AJ,azj,0,"Azerbaijani, North","Azerbaijani, North",P,9250734
10839,AJ,jdt,0,Judeo-Tat,Judeo-Tat,P,6033
10980,AJ,bdk,8413,Budukh,"Budukh: Yergyuch",P,2110
11065,AJ,bel,7935,Belarusian,"Belarusian: Southwest Belarusan",P,5753
11255,AJ,kry,0,Kryts,Kryts,P,12800
11317,AJ,che,8728,Chechen,"Chechen: Ploskost",P,5350
11505,AJ,dar,0,Dargwa,Dargwa,P,
11865,AJ,kat,0,Georgian,Georgian,P,10281
12230,AJ,kat,10165,Georgian,"Georgian: Ingilo",P,32946
12599,AJ,kaz,11758,Kazakh,"Kazakh: Western Kazakh",P,9437
12660,AJ,kjj,0,Khinalugh,Khinalugh,P,4139
12877,AJ,kmr,0,"Kurdish, Northern","Kurdish, Northern",P,53496
12952,AJ,lbe,12694,Lak,"Lak: Vixlin",P,1818
13049,AJ,lez,0,Lezgi,Lezgi,P,174778
13809,AJ,myv,0,Erzya,Erzya,P,1161
13896,AJ,ttt,0,"Tat, Muslim","Tat, Muslim",P,30843
14229,AJ,oss,15361,Ossetic,"Ossetic: Tual",P,4239
14371,AJ,pes,0,"Persian, Iranian","Persian, Iranian",P,12314
14598,AJ,rus,16118,Russian,"Russian: South Russian",P,71967
14600,AJ,rus,0,Russian,Russian,P,7000
14603,AJ,rut,16123,Rutul,"Rutul: North Rutul",P,20792
14885,AJ,tur,0,Turkish,Turkish,P,8479
15220,AJ,azj,7452,"Azerbaijani, North","Azerbaijani, North: Zaqatala",S,
15220,AJ,tly,0,Talysh,Talysh,P,
15284,AJ,tat,17246,Tatar,"Tatar: Western Tatar",P,20562
15587,AJ,tkr,0,Tsakhur,Tsakhur,P,31586
15654,AJ,tuk,0,Turkmen,Turkmen,P,10103
15684,AJ,udi,0,Udi,Udi,P,8762
15696,AJ,ukr,0,Ukrainian,Ukrainian,P,46501
15756,AJ,uzs,0,"Uzbek, Southern","Uzbek, Southern",P,8639
18274,AJ,tur,17825,Turkish,"Turkish: Rumelian",P,30843
18859,AJ,azb,7464,"Azerbaijani, South","Azerbaijani, South: Shahsavani",P,296753
19007,AJ,xxx,0,"Language Unknown","Language unknown",P,30164
20631,AJ,tur,0,Turkish,Turkish,P,5027
22572,AJ,ava,0,Avar,Avar,P,
22572,AJ,azj,0,"Azerbaijani, North","Azerbaijani, North",S,
10431,AL,rup,0,Aromanian,Aromanian,P,6878
11880,AL,aln,0,"Albanian, Gheg","Albanian, Gheg",P,
11880,AL,als,0,"Albanian, Tosk","Albanian, Tosk",S,
11942,AL,ell,0,Greek,Greek,P,25941
12273,AL,ita,0,Italian,Italian,P,7304
13186,AL,mkd,0,Macedonian,Macedonian,P,5192
13798,AL,cnr,0,Montenegrin,Montenegrin,P,1248
14567,AL,aln,0,"Albanian, Gheg","Albanian, Gheg",S,
14567,AL,rmy,16050,"Romani, Vlax","Romani, Vlax: Southern Vlax Romani",P,
18765,AL,srp,16554,Serbian,"Serbian: Torlakian",P,4000
19215,AL,eng,0,English,English,P,5967
20676,AL,als,0,"Albanian, Tosk","Albanian, Tosk",P,13000
10429,AM,hye,0,Armenian,Armenian,P,
10429,AM,hyw,0,"Armenian, Western","Armenian, Western",S,
10430,AM,rmi,0,Lomavren,Lomavren,P,48
10464,AM,aii,112,"Assyrian Neo-Aramaic","Assyrian Neo-Aramaic: Assyrian",P,14429
10528,AM,azj,0,"Azerbaijani, North","Azerbaijani, North",P,14838
11234,AM,fra,0,French,French,P,148380
13809,AM,myv,0,Erzya,Erzya,P,546
14371,AM,pes,0,"Persian, Iranian","Persian, Iranian",P,9929
14598,AM,rus,0,Russian,Russian,P,11838
15684,AM,udi,0,Udi,Udi,P,186
20455,AM,kmr,0,"Kurdish, Northern","Kurdish, Northern",P,35094
11108,AN,cat,8661,Catalan,"Catalan: Catalan-Rousillonese",P,36346
11140,AN,eng,0,English,English,P,1016
11234,AN,fra,0,French,French,P,4881
11871,AN,deu,0,"German, Standard","German, Standard",P,610
12273,AN,ita,0,Italian,Italian,P,609
13819,AN,ary,0,"Arabic, Moroccan","Arabic, Moroccan",P,589
14449,AN,por,0,Portuguese,Portuguese,P,12916
15077,AN,spa,0,Spanish,Spanish,P,25565
19211,AN,hin,0,Hindi,Hindi,P,619
10598,AO,kng,0,Koongo,Koongo,P,28582
10676,AO,xuu,0,Khwedam,Khwedam,P,365
10918,AO,blv,0,Kibala,Kibala,P,6245
11069,AO,kea,0,Kabuverdianu,Kabuverdianu,P,93745
11234,AO,fra,0,French,French,P,9044
11365,AO,cjk,166,Chokwe,"Chokwe: Cokwe",P,2571358
11545,AO,dhm,0,Dhimba,Dhimba,P,38188
11852,AO,diu,0,Gciriku,Gciriku,P,29367
12085,AO,her,0,Herero,Herero,P,
12116,AO,hol,10683,Holu,"Holu: Yeci",P,65790
12774,AO,kng,12204,Koongo,"Koongo: Kongo",P,4161326
12775,AO,kwy,0,Kikongo,Kikongo,P,24136
12856,AO,knw,0,Kung-Ekoka,Kung-Ekoka,P,9050
12857,AO,ktz,0,Ju'hoan,Ju'hoan,P,12044
12911,AO,kwn,0,Kwangali,Kwangali,P,
12914,AO,kua,1951,Oshiwambo,"Oshiwambo: Kwanyama",P,913681
12962,AO,ldi,0,Laari,Laari,P,6397
13068,AO,lin,0,Lingala,Lingala,P,174809
13127,AO,loz,0,Lozi,Lozi,P,10556
13134,AO,lua,0,Luba-Kasai,Luba-Kasai,P,89614
13138,AO,lch,207,Luchazi,"Luchazi: Luchazi",P,781919
13146,AO,lum,0,Luimbi,Luimbi,P,131565
13153,AO,lun,0,Lunda,Lunda,P,432558
13154,AO,kmb,0,Kimbundu,Kimbundu,P,
13154,AO,por,0,Portuguese,Portuguese,S,
13167,AO,lwa,0,Lwalu,Lwalu,P,29870
13168,AO,lue,0,Luvale,Luvale,P,410013
13276,AO,lun,1288,Lunda,"Lunda: Ndembu",P,22033
13287,AO,ndq,0,Ndombe,Ndombe,P,60294
13289,AO,ndo,0,Ndonga,Ndonga,P,
13414,AO,nkn,0,Nkangala,Nkangala,P,63517
13417,AO,khu,0,Nkumbi,Nkumbi,P,859137
13426,AO,sie,0,Simaa,Simaa,P,4481
13454,AO,vaj,0,"Northwestern Kung","Northwestern Kung",P,16604
13569,AO,mho,13824,"Mashi (Zambia)","Mashi (Zambia): North Kwandu",P,6036
13617,AO,mxg,0,Mbangala,Mbangala,P,
13639,AO,mhw,0,Mbukushu,Mbukushu,P,18085
13643,AO,mck,0,Mbunda,Mbunda,P,391827
13645,AO,mfu,0,Mbwela,Mbwela,P,643962
14084,AO,nyk,0,Nyaneka,Nyaneka,P,1305256
14092,AO,nba,0,Nyemba,Nyemba,P,1228248
14093,AO,nye,0,Nyengo,Nyengo,P,29332
14449,AO,por,0,Portuguese,Portuguese,P,2469234
14604,AO,rnd,0,Ruund,Ruund,P,295202
14681,AO,hgm,10523,Haiom,"Haiom: Kedi",P,1986
15077,AO,spa,0,Spanish,Spanish,P,17475
15109,AO,sub,0,Suku,Suku,P,44808
15706,AO,umb,0,Umbundu,Umbundu,P,9162205
15953,AO,yaf,0,"Yaka (Democratic Republic of the Congo)","Yaka (Democratic Republic of the Congo)",P,599401
16005,AO,yax,0,Yauma,Yauma,P,51248
16051,AO,yom,0,Kiyombe,Kiyombe,P,96644
19007,AO,xxx,0,"Language Unknown","Language unknown",P,163785
19052,AO,nsx,0,"Songo (Angola)","Songo (Angola)",P,268269
19206,AO,cmn,8839,"Chinese, Mandarin","Chinese, Mandarin: Xinan Guanhua",P,61019
19208,AO,eng,0,English,English,P,29837
20990,AO,olu,0,Kuvale,Kuvale,P,112281
21063,AO,nql,0,Ngendelengo,Ngendelengo,P,9271
21064,AO,xdo,0,Kwandu,Kwandu,P,9653
21580,AO,pnd,0,Mpinda,Mpinda,P,39202
21843,AO,hng,0,Hungu,Hungu,P,1044205
22652,AO,xxx,0,"Language Unknown","Language unknown",P,18027
11165,AQ,eng,0,English,English,P,3070
12322,AQ,jpn,0,Japanese,Japanese,P,788
12795,AQ,kor,0,Korean,Korean,P,433
14676,AQ,smo,0,Samoan,Samoan,P,37790
15175,AQ,tgl,0,Tagalog,Tagalog,P,544
15535,AQ,tkl,0,Tokelauan,Tokelauan,P,70
15554,AQ,ton,0,Tongan,Tongan,P,572
15741,AQ,eng,0,English,English,P,858
19007,AQ,xxx,0,"Language Unknown","Language unknown",P,
10421,AR,spa,0,Spanish,Spanish,P,36202249
10429,AR,hyw,0,"Armenian, Western","Armenian, Western",P,152889
10962,AR,gun,0,"Guarani, Mbya","Guarani, Mbya",P,
10966,AR,por,0,Portuguese,Portuguese,P,44470
11069,AR,kea,0,Kabuverdianu,Kabuverdianu,P,
11069,AR,spa,0,Spanish,Spanish,S,
11108,AR,cat,3162,Catalan,"Catalan: Central",P,203425
11140,AR,eng,0,English,English,P,9694
11234,AR,fra,0,French,French,P,16772
11306,AR,gui,0,"Guarani, Eastern Bolivian","Guarani, Eastern Bolivian",P,
11335,AR,spa,0,Spanish,Spanish,P,212342
11354,AR,gui,10376,"Guarani, Eastern Bolivian","Guarani, Eastern Bolivian: Izoceno",P,24047
11355,AR,nhd,0,"Guarani, Ava","Guarani, Ava",P,24454
11369,AR,crt,0,"Chorote, Iyojwa'ja","Chorote, Iyojwa'ja",P,943
11370,AR,crq,0,"Chorote, Iyo'wujwa","Chorote, Iyo'wujwa",P,1771
11379,AR,cag,0,Nivacle,Nivacle,P,
11458,AR,ces,0,Czech,Czech,P,
11810,AR,glg,0,Galician,Galician,P,774414
11871,AR,deu,0,"German, Standard","German, Standard",P,43067
11942,AR,ell,0,Greek,Greek,P,42231
12273,AR,ita,0,Italian,Italian,P,1148284
12322,AR,jpn,0,Japanese,Japanese,P,38191
12432,AR,kgk,0,Kaiwa,Kaiwa,P,
12795,AR,kor,0,Korean,Korean,P,33305
12863,AR,spa,0,Spanish,Spanish,P,15566
13526,AR,arn,0,Mapudungun,Mapudungun,P,
13677,AR,pdt,0,Plautdietsch,Plautdietsch,P,4177
13756,AR,moc,0,Mocovi,Mocovi,P,25572
13961,AR,mtp,0,Weenhayek,Weenhayek,P,149
14312,AR,gug,0,"Guarani, Paraguayan","Guarani, Paraguayan",P,610341
14373,AR,spa,0,Spanish,Spanish,P,173765
14391,AR,plg,0,Pilaga,Pilaga,P,5782
14392,AR,mzh,0,"Wichi Lhamtes Guisnay","Wichi Lhamtes Guisnay",P,26497
14431,AR,pol,0,Polish,Polish,P,
14449,AR,por,0,Portuguese,Portuguese,P,15465
14502,AR,quh,0,"Quechua, South Bolivian","Quechua, South Bolivian",P,83319
14504,AR,quh,15871,"Quechua, South Bolivian","Quechua, South Bolivian: Quechua, Northwest Jujuy,",P,2088
14567,AR,rmy,0,"Romani, Vlax","Romani, Vlax",P,60678
14571,AR,ron,0,Romanian,Romanian,P,16772
14598,AR,rus,0,Russian,Russian,P,
14744,AR,qus,0,"Quichua, Santiago del Estero","Quichua, Santiago del Estero",P,65456
14864,AR,srp,0,Serbian,Serbian,P,6539
14962,AR,slk,0,Slovak,Slovak,P,9409
14964,AR,slv,0,Slovene,Slovene,P,11901
15077,AR,spa,0,Spanish,Spanish,P,603473
15080,AR,spa,0,Spanish,Spanish,P,129430
15152,AR,apc,0,"Arabic, Levantine","Arabic, Levantine",P,1508519
15153,AR,heb,0,Hebrew,Hebrew,S,
15153,AR,spa,0,Spanish,Spanish,P,
15265,AR,tpj,0,Nandeva,Nandeva,P,586
15319,AR,arn,0,Mapudungun,Mapudungun,P,31127
15517,AR,tob,22280,Toba,"Toba: Toba Qom",P,141191
15696,AR,ukr,0,Ukrainian,Ukrainian,P,32117
15739,AR,spa,0,Spanish,Spanish,P,127848
15780,AR,wlv,0,"Wichi Lhamtes Vejoz","Wichi Lhamtes Vejoz",P,31808
15791,AR,tob,0,Toba,Toba,P,556
15905,AR,cym,0,Welsh,Welsh,P,5043
19006,AR,spa,0,Spanish,Spanish,P,1817197
19007,AR,aed,0,"Argentine Sign Language","Argentine Sign Language",P,60200
19023,AR,spa,0,Spanish,Spanish,P,137856
19024,AR,spa,0,Spanish,Spanish,P,1334
19206,AR,cmn,0,"Chinese, Mandarin","Chinese, Mandarin",P,78632
19213,AR,spa,0,Spanish,Spanish,P,15661
19214,AR,spa,0,Spanish,Spanish,P,2892
19623,AR,spa,0,Spanish,Spanish,P,1891
19624,AR,spa,0,Spanish,Spanish,P,1445
19626,AR,spa,0,Spanish,Spanish,P,2447
20500,AR,spa,0,Spanish,Spanish,P,16677
20501,AR,spa,0,Spanish,Spanish,P,38910
20502,AR,spa,0,Spanish,Spanish,P,74487
20504,AR,spa,0,Spanish,Spanish,P,37799
20505,AR,spa,0,Spanish,Spanish,P,72263
20506,AR,spa,0,Spanish,Spanish,P,4113
20507,AR,spa,0,Spanish,Spanish,P,2114
20508,AR,spa,0,Spanish,Spanish,P,7670
20509,AR,spa,0,Spanish,Spanish,P,3112
20510,AR,spa,0,Spanish,Spanish,P,24458
20511,AR,spa,0,Spanish,Spanish,P,4113
20512,AR,spa,0,Spanish,Spanish,P,16677
20513,AR,spa,0,Spanish,Spanish,P,3223
22317,AR,qus,0,"Quichua, Santiago del Estero","Quichua, Santiago del Estero",P,4821
22663,AR,spa,0,Spanish,Spanish,P,
22663,AR,ydd,0,"Yiddish, Eastern","Yiddish, Eastern",S,
10134,AS,rop,12353,Kriol,"Kriol: Roper River Kriol",P,7735
10168,AS,afr,0,Afrikaans,Afrikaans,P,
10168,AS,eng,0,English,English,S,
10259,AS,aly,0,Alyawarr,Alyawarr,P,1675
10294,AS,amh,0,Amharic,Amharic,P,7356
10311,AS,aoi,0,Anindilyakwa,Anindilyakwa,P,1597
10326,AS,eng,0,English,English,P,18320978
10328,AS,eng,0,English,English,P,43996
10329,AS,eng,0,English,English,P,595471
10330,AS,rme,0,Angloromani,Angloromani,P,6873
10334,AS,amx,0,Anmatyerr,Anmatyerr,P,692
10375,AS,acm,0,"Arabic, Mesopotamian","Arabic, Mesopotamian",P,52221
10429,AS,hyw,0,"Armenian, Western","Armenian, Western",P,47644
10464,AS,aii,112,"Assyrian Neo-Aramaic","Assyrian Neo-Aramaic: Assyrian",P,30218
10491,AS,bar,0,Bavarian,Bavarian,P,26788
10530,AS,bcj,0,Bardi,Bardi,P,345
10790,AS,ben,0,Bengali,Bengali,P,58985
10953,AS,bos,0,Bosnian,Bosnian,P,17730
10991,AS,pkp,0,Pukapuka,Pukapuka,P,1528
10998,AS,bul,0,Bulgarian,Bulgarian,P,
11026,AS,bvr,0,Burarra,Burarra,P,1134
11029,AS,mya,0,Burmese,Burmese,P,18292
11065,AS,bel,0,Belarusian,Belarusian,P,6742
11140,AS,eng,0,English,English,P,1056356
11200,AS,fij,0,Fijian,Fijian,P,67780
11201,AS,hif,0,"Fiji Hindi","Fiji Hindi",P,2928
11205,AS,fin,0,Finnish,Finnish,P,
11234,AS,fra,0,French,French,P,79563
11244,AS,kri,0,Krio,Krio,P,2838
11268,AS,kux,0,Kukatja,Kukatja,P,139
11277,AS,tha,0,Thai,Thai,P,62169
11295,AS,cld,0,"Chaldean Neo-Aramaic","Chaldean Neo-Aramaic",P,21904
11335,AS,spa,0,Spanish,Spanish,P,34729
11344,AS,nan,0,"Chinese, Min Nan","Chinese, Min Nan",P,18899
11399,AS,coa,0,"Malay, Cocos Islands","Malay, Cocos Islands",P,1373
11415,AS,rar,0,"Cook Islands Maori","Cook Islands Maori",P,5520
11437,AS,hrv,0,Croatian,Croatian,P,63851
11456,AS,ell,0,Greek,Greek,P,28027
11457,AS,tur,0,Turkish,Turkish,P,30894
11458,AS,ces,0,Czech,Czech,P,
11496,AS,dan,0,Danish,Danish,P,6244
11539,AS,eng,0,English,English,P,562563
11543,AS,dhg,0,Dhangu-Djangu,Dhangu-Djangu,P,
11566,AS,dks,0,"Dinka, Southeastern","Dinka, Southeastern",P,12213
11574,AS,djr,0,Djambarrpuyngu,Djambarrpuyngu,P,4623
11576,AS,ddj,0,Jaru,Jaru,P,
11577,AS,djj,0,Djeebbana,Djeebbana,P,195
11578,AS,dji,0,Djinang,Djinang,P,
11579,AS,djb,0,Djinba,Djinba,P,77
11659,AS,nld,0,Dutch,Dutch,P,77378
11683,AS,aer,0,"Arrernte, Eastern","Arrernte, Eastern",P,3159
11722,AS,arz,0,"Arabic, Egyptian","Arabic, Egyptian",P,51398
11801,AS,gbb,0,Kaytetye,Kaytetye,P,128
11824,AS,wrk,0,Garrwa,Garrwa,P,144
11871,AS,deu,0,"German, Standard","German, Standard",P,
11880,AS,aln,0,"Albanian, Gheg","Albanian, Gheg",P,
11880,AS,als,0,"Albanian, Tosk","Albanian, Tosk",S,
11942,AS,ell,0,Greek,Greek,P,
11974,AS,gvn,0,Kuku-Yalanji,Kuku-Yalanji,P,345
11982,AS,guj,0,Gujarati,Gujarati,P,57148
